Марка,Количество перевозок по марке,"Список маршрутов, по которым перевозилась марка"
McLaren,1,Краснодар - Москва
Mercedes-Benz,118,Барнаул - Барнаул; Барнаул - Новосибирск; Владивосток - Краснодар; Владивосток - Москва; Владивосток - Новосибирск; Владивосток - Тольятти; Владикавказ - Москва; Владикавказ - Ростов-на-Дону; Владикавказ - Санкт-Петербург; Владикавказ - Тольятти; Екатеринбург - Екатеринбург; Екатеринбург - Краснодар; Екатеринбург - Махачкала; Екатеринбург - Москва; Иркутск - Екатеринбург; Иркутск - Красноярск; Казань - Казань; Казань - Москва; Казань - Новосибирск; Киров - Москва; Краснодар - Екатеринбург; Краснодар - Краснодар; Краснодар - Москва; Краснодар - Санкт-Петербург; Краснодар - Сочи; Красноярск - Москва; Махачкала - Тольятти; Москва - Владивосток; Москва - Екатеринбург; Москва - Иркутск; Москва - Краснодар; Москва - Красноярск; Москва - Курган; Москва - Москва; Москва - Невинномысск; Москва - Новосибирск; Москва - Пермь; Москва - Ростов-на-Дону; Москва - Санкт-Петербург; Москва - Тамбов; Москва - Тюмень; Москва - Улан-Удэ; Москва - Ульяновск; Москва - Уфа; Набережные Челны - Москва; Нальчик - Москва; Новосибирск - Екатеринбург; Новосибирск - Москва; Новосибирск - Тюмень; Омск - Краснодар; Омск - Москва; Ростов-на-Дону - Тольятти; Санкт-Петербург - Москва; Санкт-Петербург - Набережные Челны; Санкт-Петербург - Омск; Санкт-Петербург - Ростов-на-Дону; Санкт-Петербург - Санкт-Петербург; Сочи - Москва; Сургут - Москва; Тольятти - Екатеринбург; Тольятти - Оренбург; Тюмень - Сургут; Уфа - Москва; Уфа - Омск; Уфа - Санкт-Петербург; Уфа - Уфа; Челябинск - Красноярск; Челябинск - Москва
Mitsubishi,30,Астрахань - Тольятти; Волгоград - Тольятти; Екатеринбург - Новосибирск; Иркутск - Улан-Удэ; Краснодар - Омск; Красноярск - Тольятти; Москва - Новосибирск; Москва - Омск; Москва - Санкт-Петербург; Москва - Тольятти; Новосибирск - Краснодар; Новосибирск - Красноярск; Новосибирск - Омск; Новосибирск - Ростов-на-Дону; Омск - Барнаул; Омск - Москва; Переславль-Залесский - Москва; Санкт-Петербург - Екатеринбург; Санкт-Петербург - Казань; Санкт-Петербург - Москва; Санкт-Петербург - Мурманск; Санкт-Петербург - Нижний Новгород; Тольятти - Краснодар; Тольятти - Нальчик; Тольятти - Новосибирск; Улан-Удэ - Тюмень; Ульяновск - Тольятти; Челябинск - Невинномысск
Nissan,45,Владивосток - Москва; Иркутск - Новосибирск; Казань - Москва; Казань - Нижневартовск; Калининград - Санкт-Петербург; Минеральные Воды - Тольятти; Москва - Москва; Москва - Набережные Челны; Москва - Нижний Новгород; Москва - Новосибирск; Москва - Омск; Москва - Санкт-Петербург; Москва - Улан-Удэ; Москва - Уфа; Москва - Чебоксары; Москва - Челябинск; Нижневартовск - Москва; Нижний Новгород - Новосибирск; Новосибирск - Краснодар; Новосибирск - Москва; Омск - Санкт-Петербург; Петрозаводск - Ростов-на-Дону; Рязань - Челябинск; Санкт-Петербург - Казань; Санкт-Петербург - Москва; Санкт-Петербург - Сосновый Бор; Саратов - Москва; Тольятти - Екатеринбург; Тольятти - Москва; Тюмень - Ижевск; Челябинск - Москва; Челябинск - Омск
OMODA,1,Санкт-Петербург - Оренбург
Opel,2,Москва - Челябинск; Тверь - Санкт-Петербург
Peugeot,9,Владикавказ - Москва; Красноярск - Тулун; Магнитогорск - Чита; Москва - Санкт-Петербург; Москва - Улан-Удэ; Нижневартовск - Сургут; Ростов-на-Дону - Ростов-на-Дону; Ростов-на-Дону - Санкт-Петербург; Санкт-Петербург - Усть-Луга
Polestar,1,Москва - Санкт-Петербург
Porsche,34,Владивосток - Москва; Владикавказ - Владикавказ; Владикавказ - Москва; Владикавказ - Саратов; Казань - Челябинск; Краснодар - Екатеринбург; Москва - Екатеринбург; Москва - Курган; Москва - Минск; Москва - Москва; Москва - Омск; Москва - Пермь; Москва - Санкт-Петербург; Москва - Челябинск; Омск - Омск; Оренбург - Москва; Пятигорск - Омск; Ростов-на-Дону - Москва; Санкт-Петербург - Екатеринбург; Санкт-Петербург - Москва; Сочи - Краснодар; Челябинск - Москва; Челябинск - Челябинск
Porshe,1,Москва - Челябинск
RAM,2,Красноярск - Екатеринбург; Москва - Симферополь
Renault,15,Владикавказ - Москва; Иркутск - Екатеринбург; Казань - Москва; Красноярск - Москва; Минеральные Воды - Москва; Москва - Казань; Москва - Невинномысск; Москва - Санкт-Петербург; Нижневартовск - Тюмень; Орёл - Москва; Санкт-Петербург - Мурманск; Санкт-Петербург - Ростов-на-Дону; Санкт-Петербург - Санкт-Петербург; Тюмень - Уфа
Rolls-Royce,1,Владикавказ - Москва
Skoda,20,Владивосток - Набережные Челны; Красноярск - Москва; Москва - Краснодар; Москва - Москва; Москва - Невинномысск; Москва - Новосибирск; Москва - Санкт-Петербург; Москва - Уфа; Нальчик - Москва; Тюмень - Благовещенск; Уфа - Уфа; Челябинск - Москва
Smart,1,Москва - Армавир
SsangYong,4,Владивосток - Москва; Владивосток - Тюмень; Тюмень - Нижний Новгород
Subaru,22,Ачинск - Ачинск; Ачинск - Нижний Новгород; Владивосток - Москва; Владивосток - Тольятти; Воронеж - Москва; Минеральные Воды - Новосибирск; Москва - Иркутск; Москва - Новосибирск; Москва - Омск; Москва - Санкт-Петербург; Нижневартовск - Тюмень; Омск - Кемерово; Санкт-Петербург - Санкт-Петербург; Тольятти - Челябинск; Тюмень - Уфа
Suzuki,29,Боготол - Красноярск; Владивосток - Москва; Владикавказ - Владикавказ; Екатеринбург - Красноярск; Красноярск - Екатеринбург; Москва - Екатеринбург; Москва - Нижневартовск; Москва - Санкт-Петербург; Москва - Уфа; Нижневартовск - Тольятти; Новосибирск - Воронеж; Новосибирск - Тольятти; Новый Уренгой - Тюмень; Тольятти - Владикавказ; Тольятти - Невинномысск; Тюмень - Москва; Тюмень - Уфа
Tank,4,Екатеринбург - Москва; Москва - Москва; Москва - Санкт-Петербург
Tesla,5,Минеральные Воды - Москва; Москва - Москва; Москва - Санкт-Петербург; Санкт-Петербург - Санкт-Петербург; Уфа - Москва
Toyota,149,Астрахань - Тольятти; Астрахань - Тюмень; Астрахань - Челябинск; Барнаул - Красноярск; Владивосток - Владивосток; Владивосток - Екатеринбург; Владивосток - Краснодар; Владивосток - Москва; Владивосток - Тольятти; Владивосток - Тюмень; Владикавказ - Владикавказ; Владикавказ - Саратов; Геленджик - Краснодар; Екатеринбург - Екатеринбург; Екатеринбург - Красноярск; Екатеринбург - Москва; Екатеринбург - Новосибирск; Екатеринбург - Тольятти; Иркутск - Краснодар; Иркутск - Москва; Иркутск - Тольятти; Краснодар - Москва; Краснодар - Симферополь; Краснодар - Сочи; Красноярск - Краснодар; Красноярск - Москва; Махачкала - Тольятти; Москва - Владивосток; Москва - Владикавказ; Москва - Волгоград; Москва - Екатеринбург; Москва - Иркутск; Москва - Киров; Москва - Краснодар; Москва - Красноярск; Москва - Минск; Москва - Москва; Москва - Нижний Тагил; Москва - Новосибирск; Москва - Омск; Москва - Пермь; Москва - Санкт-Петербург; Москва - Томск; Москва - Тюмень; Москва - Улан-Удэ; Москва - Хабаровск; Москва - Челябинск; Москва - Чита; Нижний Новгород - Новосибирск; Новосибирск - Екатеринбург; Новосибирск - Краснодар; Новосибирск - Красноярск; Новосибирск - Ростов-на-Дону; Омск - Казань; Ростов-на-Дону - Ростов-на-Дону; Ростов-на-Дону - Санкт-Петербург; Ростов-на-Дону - Тольятти; Санкт-Петербург - Владикавказ; Санкт-Петербург - Москва; Санкт-Петербург - Санкт-Петербург; Симферополь - Ростов-на-Дону; Сургут - Москва; Тольятти - Владикавказ; Тольятти - Екатеринбург; Тольятти - Иркутск; Тольятти - Краснодар; Тольятти - Ростов-на-Дону; Тольятти - Ставрополь; Тольятти - Тюмень; Тюмень - Нижневартовск; Тюмень - Пенза; Тюмень - Тольятти; Хабаровск - Краснодар; Ханты-Мансийск - Армавир; Челябинск - Москва; Челябинск - Ростов-на-Дону; Челябинск - Тольятти; Челябинск - Челябинск; Элиста - Уфа
Volkswagen,74,Барнаул - Новосибирск; Владивосток - Москва; Владивосток - Тюмень; Владикавказ - Елец; Владикавказ - Саратов; Владикавказ - Тольятти; Волгоград - Москва; Екатеринбург - Екатеринбург; Екатеринбург - Тольятти; Иркутск - Тюмень; Казань - Казань; Казань - Ногинск; Казань - Тольятти; Краснодар - Москва; Краснодар - Тольятти; Красноярск - Краснодар; Махачкала - Екатеринбург; Минеральные Воды - Екатеринбург; Минеральные Воды - Минеральные Воды; Минск - Санкт-Петербург; Москва - Владимир; Москва - Екатеринбург; Москва - Иркутск; Москва - Казань; Москва - Кемерово; Москва - Краснодар; Москва - Москва; Москва - Новосибирск; Москва - Пенза; Москва - Санкт-Петербург; Москва - Тольятти; Нижневартовск - Казань; Новосибирск - Краснодар; Новосибирск - Москва; Новосибирск - Ростов-на-Дону; Новосибирск - Челябинск; Ногинск - Москва; Омск - Казань; Санкт-Петербург - Краснодар; Санкт-Петербург - Москва; Санкт-Петербург - Мурманск; Санкт-Петербург - Невинномысск; Санкт-Петербург - Ростов-на-Дону; Санкт-Петербург - Санкт-Петербург; Санкт-Петербург - Тольятти; Санкт-Петербург - Челябинск; Тольятти - Владикавказ; Тольятти - Екатеринбург; Тольятти - Краснодар; Тольятти - Москва; Тольятти - Ростов-на-Дону; Тольятти - Челябинск; Тюмень - Ростов-на-Дону; Тюмень - Тольятти; Челябинск - Магнитогорск; Челябинск - Москва; Чита - Саратов
Volvo,14,Астрахань - Москва; Владивосток - Москва; Владикавказ - Санкт-Петербург; Минеральные Воды - Екатеринбург; Москва - Санкт-Петербург; Нальчик - Санкт-Петербург
Voyah,1,Москва - Екатеринбург
Wuling,1,Москва - Новосибирск
Xiaomi,1,Москва - Санкт-Петербург
Zeekr,6,Краснодар - Челябинск; Минеральные Воды - Челябинск; Москва - Краснодар; Москва - Москва; Москва - Санкт-Петербург; Челябинск - Челябинск
Zotye,1,Санкт-Петербург - Невинномысск
ГАЗ,6,Екатеринбург - Красноярск; Иркутск - Тольятти; Нижневартовск - Москва; Сургут - Тольятти; Тольятти - Нальчик; Челябинск - Краснодар
Лада,53,Екатеринбург - Красноярск; Курск - Москва; Махачкала - Ростов-на-Дону; Минеральные Воды - Москва; Москва - Екатеринбург; Москва - Казань; Москва - Калининград; Москва - Красноярск; Москва - Нальчик; Москва - Новосибирск; Москва - Тюмень; Москва - Улан-Удэ; Набережные Челны - Москва; Нальчик - Тольятти; Невинномысск - Москва; Невинномысск - Тольятти; Нижневартовск - Тольятти; Нижневартовск - Тюмень; Нижний Новгород - Москва; Нижний Новгород - Нижний Новгород; Нижний Новгород - Омск; Новосибирск - Ростов-на-Дону; Омск - Красноярск; Омск - Нижний Новгород; Омск - Тольятти; Пенза - Москва; Пенза - Пенза; Санкт-Петербург - Москва; Сургут - Ижевск; Сургут - Тольятти; Сыктывкар - Казань; Тольятти - Владикавказ; Тольятти - Екатеринбург; Тольятти - Махачкала; Тольятти - Нальчик; Тольятти - Тольятти; Тольятти - Челябинск; Тюмень - Москва; Тюмень - Тольятти; Уфа - Екатеринбург; Уфа - Москва; Хабаровск - Ставрополь; Челябинск - Краснодар; Челябинск - Тольятти; Чита - Ростов-на-Дону
Москвич,3,Москва - Санкт-Петербург; Омск - Москва; Омск - Омск
УАЗ,11,Екатеринбург - Ростов-на-Дону; Елец - Краснодар; Красноярск - Иркутск; Москва - Благовещенск; Москва - Иркутск; Нижний Новгород - Нижний Новгород; Нижний Новгород - Омск; Новосибирск - Красноярск; Омск - Москва; Санкт-Петербург - Москва; Тольятти - Краснодар
